編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
24,連江縣各鄉村人口統計資料,連江縣政府,連江縣政府,,,,115,500,鄉別、村別、鄰數、戶數、合計人口數、男-人口數、女-人口數、遷入人口數、遷出人口數、出生人口數、死亡人口數、結婚人口數、離婚人口數
25,連江縣政府105年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,4,55,議員所提地方建設建議事項處理明細表
26,連江縣政府104年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,1,53,104年度對議員所提地方建設建議事項處理明細表
27,連江縣政府103年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,3,49,議員所提地方建設建議事項處理明細表
28,連江縣政府102年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,2,45,議員所提地方建設建議事項處理明細表
29,連江縣政府101年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,3,75,連江縣政府101年度對議員所提地方建設建議事項處理明細表
30,連江縣政府100年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,3,52,連江縣政府100年度對議員所提地方建設建議事項處理明細表
31,連江縣人民團體名冊106年5月,連江縣政府,連江縣政府,,,,4,86,"人民團體稱,核準立案字號,成立日期,理事長負責人,地址,電話,聯絡人,團體類別,任期"
32,連江縣106年6月各鄉村人口數,連江縣政府,連江縣政府,,,,8,79,連江縣106年6月各鄉村人口數
